spcode,MC_dry,drying_time
AbPiQu,198.5714286,0
AbCaQu,143.8356164,0
AbCaPi,113.3333333,0
CaPiQu,204.5454545,0
AbPiQu,226.8656716,0
AbCaQu,146.1538462,0
AbCaPi,111.4285714,0
CaPiQu,175,0
AbPiQu,108.75,24
AbCaQu,77.31958763,24
AbCaPi,60.57692308,24
CaPiQu,152.3809524,24
AbPiQu,115.5844156,24
AbCaQu,83.14606742,24
AbCaPi,60.37735849,24
CaPiQu,121.7391304,24
AbPiQu,159.1549296,0
AbCaQu,164.7887324,0
AbCaPi,112.5,0
CaPiQu,222.8070175,0
AbPiQu,158.3333333,0
AbCaQu,136.7647059,0
AbCaPi,96.7032967,0
CaPiQu,161.7283951,0
AbPiQu,131.25,24
AbPiQu,129.6703297,24
AbPiQu,102.2988506,24
AbCaQu,115.9090909,24
AbCaPi,86.02150538,24
CaPiQu,135.0649351,24
AbPiQu,98.8372093,24
AbCaQu,107.1428571,24
AbCaPi,73.07692308,24
CaPiQu,96.7032967,24
AbPiQu,81.57894737,48
AbPiQu,88.39285714,48
AbPiQu,175.6097561,0
AbCaQu,146.8085106,0
AbCaPi,97.95918367,0
CaPiQu,238.4615385,0
AbPiQu,157.1428571,0
AbCaQu,143.3333333,0
AbCaPi,97.91666667,0
CaPiQu,188.5714286,0
AbPiQu,120.7792208,24
AbCaQu,182.5581395,24
AbCaPi,55.26315789,24
CaPiQu,122.6666667,24
AbPiQu,112.987013,24
AbCaQu,39,24
AbCaPi,58.39416058,24
CaPiQu,113.4146341,24
